Timestamp,Open,High,Low,Close,Volume
03/02/10 09:01,8826.9,8856.95,8826.9,8839.8,6316783
03/02/10 09:02,8840.75,8853.9,8832.8,8852.3,6316784
03/02/10 09:03,8855.7,8855.7,8844.65,8846.65,6316785
03/02/10 09:04,8843.85,8850.7,8843.75,8846.7,6316786
03/02/10 09:05,8846.4,8846.4,8837.75,8841.6,6316787
03/02/10 09:06,8842.15,8842.95,8834.6,8836.9,6316788
03/02/10 09:07,8835.4,8846.35,8833.35,8846.35,6316789
03/02/10 09:08,8845.8,8855.7,8845.8,8855.7,6316790
03/02/10 09:09,8855.55,8863.95,8855.55,8859.15,6316791
03/02/10 09:10,8860.7,8869.4,8860.7,8864.95,6316792
03/02/10 09:11,8867.55,8873.6,8863.55,8863.55,6316793
03/02/10 09:12,8861.35,8867.85,8861.35,8867.85,6316794
03/02/10 09:13,8867.9,8869.55,8866.85,8868.15,6316795
03/02/10 09:14,8870.25,8877.95,8870.25,8877.95,6316796
03/02/10 09:15,8879.25,8893.1,8879.25,8893.1,6316797
03/02/10 09:16,8893.45,8893.6,8887.65,8893.05,6316798
03/02/10 09:17,8893.2,8901,8889.35,8899.35,6316799
03/02/10 09:18,8896.4,8902.6,8896.4,8899.55,6316800
03/02/10 09:19,8896.9,8907.35,8896.9,8905.55,6316801
03/02/10 09:20,8908.65,8908.65,8903.7,8906.7,6316802
03/02/10 09:21,8904.8,8906.75,8902.4,8904.2,6316803
03/02/10 09:22,8904.05,8904.05,8897.5,8899,6316804
03/02/10 09:23,8898.15,8909.6,8898.15,8909.6,6316805
03/02/10 09:24,8908,8908,8900.95,8904.15,6316806
03/02/10 09:25,8905.8,8907.7,8902.25,8903.3,6316807
03/02/10 09:26,8903.5,8903.5,8896.8,8902.2,6316808
03/02/10 09:27,8901.3,8904.55,8898.9,8904.55,6316809
03/02/10 09:28,8904.45,8907.35,8898.25,8898.25,6316810
03/02/10 09:29,8898.45,8899.3,8895.3,8895.85,6316811
03/02/10 09:30,8897.95,8897.95,8892,8892,6316812
03/02/10 09:31,8891.75,8892.35,8889.45,8892.25,6316813
03/02/10 09:32,8892.15,8894.05,8888.05,8888.05,6316814
03/02/10 09:33,8888.9,8891.2,8888.9,8890.5,6316815
03/02/10 09:34,8889.8,8889.8,8886.55,8886.55,6316816
